discount-name|Name
discount-type|Typ
discount-off|AUS
discount-appliesto|Gilt für
discount-categories|Kategorien
discount-products|Produkte
discount-shippingmethods|Discounted Versand-Methoden
discount-starts|Beginnt
discount-now|Jetzt
discount-ends|Beendet
discount-never|Nie
discount-createcoupon|Erstellen coupon
discount-randomcode|Zufallscode
discount-entercode|Code eingeben
discount-selectcategories|Wählen Sie die Kategorien
discount-selectproducts|Wählen Sie Produkte
discount-selectshippingmethods|Auswahl der Versandart
discount-allproducts|Alle Produkte
discount-selectedproductsandcategories|Ausgewählte Produkte und Kategorien
discount-minimumordersof|Mindestbestellwert von
discount-percentage|Prozentsatz
discount-dollaramount|Dollar-Betrag
discount-freeshipping|Kostenloser Versand
