discount-name|Name
discount-type|Type
discount-off|OFF
discount-appliesto|Applies To
discount-categories|Categories
discount-products|Products
discount-shippingmethods|Discounted shipping methods
discount-starts|Starts
discount-now|Now
discount-ends|Ends
discount-never|Never
discount-createcoupon|Create coupon
discount-randomcode|Random code
discount-entercode|Enter code
discount-selectcategories|Select categories
discount-selectproducts|Select products
discount-selectshippingmethods|Select Shipping Methods
discount-allproducts|All products
discount-selectedproductsandcategories|Selected products and categories
discount-minimumordersof|Minimum orders of
discount-percentage|Percentage
discount-dollaramount|Dollar amount
discount-freeshipping|Free shipping
